,Offense,Longitude,Latitude
21232,87-Narcotics,-76.6415206496,39.3101336559
21233,2H-Indecent Exp.,-76.5911350736,39.2267040697
21234,55-Disorderly Person,-76.6342385547,39.2815953601
21235,Unknown Offense,-76.637067273,39.3103195075
21236,87-Narcotics,-76.632603019,39.2828788716
21237,87-Narcotics,-76.632468349,39.2821210312
21238,108-Liquor Law/Open Containe,-76.6522331219,39.2868374825
21239,108-Liquor Law/Open Containe,-76.5755998537,39.2944754188
21240,4E-Common Assault,-76.5756509669,39.2942446649
21241,4E-Common Assault,-76.5756509669,39.2942446649
21242,4E-Common Assault,-76.6150309471,39.2767772526
21243,Unknown Offense,-76.617027896,39.3121804169
21244,87-Narcotics,-76.6366756316,39.2882684173
21245,Unknown Offense,-76.6298286933,39.3136815533
21246,Unknown Offense,-76.6063876039,39.2980414665
21247,Unknown Offense,-76.6063876039,39.2980414665
21248,Unknown Offense,-76.7020497069,39.2926378363
21249,Unknown Offense,-76.7020497069,39.2926378363
21250,Unknown Offense,-76.7020497069,39.2926378363
21251,Unknown Offense,-76.6404658653,39.3082514922
21252,4E-Common Assault,-76.6019024757,39.3494863126
21253,Unknown Offense,-76.6092077039,39.3047512224
21254,Unknown Offense,-76.6092077039,39.3047512224
21255,4E-Common Assault,-76.6091963698,39.3393707833
21256,Unknown Offense,-76.7062702873,39.3066681209
21257,4E-Common Assault,-76.668913776,39.3473298198
21258,4E-Common Assault,-76.5541048795,39.3319076587
21259,Unknown Offense,-76.6665597886,39.3397228012
21260,4A-Agg. Asslt.- Gun,-76.5580511062,39.3317901228
21261,3AO-Robb Hwy-Other Wpn,-76.5607142998,39.2916911559
21262,3AO-Robb Hwy-Other Wpn,-76.5607142998,39.2916911559
21263,Unknown Offense,-76.618232059,39.2940613742
21264,Unknown Offense,-76.6100972198,39.2913120768
21265,Unknown Offense,-76.6257000792,39.3006955125
21266,4B-Agg. Asslt.- Cut,-76.5664516769,39.2895201499
21267,6B-Larceny- Purse Snatch,-76.611139708,39.2387735885
21268,Unknown Offense,-76.677389074,39.2940341638
21269,Unknown Offense,-76.5642471879,39.3209756711
21270,Unknown Offense,-76.6576055827,39.325137007
21271,6C-Larceny- Shoplifting,-76.6582134943,39.3179957509
21272,Unknown Offense,-76.6134267552,39.3272307051
21273,Unknown Offense,-76.5722694942,39.3207982377
21274,Unknown Offense,-76.6714570278,39.34862759
21275,Unknown Offense,-76.6225398466,39.2929278064
21276,Unknown Offense,-76.6081703837,39.2932040577
21277,4E-Common Assault,-76.6625049881,39.3295105623
21278,Unknown Offense,-76.5776960975,39.3001120808
21279,Unknown Offense,-76.5822449744,39.2988707063
21280,Unknown Offense,-76.6554003363,39.301670728
21281,Unknown Offense,-76.6418352932,39.2636355844
21282,4B-Agg. Asslt.- Cut,-76.6547431046,39.2840880293
21283,Unknown Offense,-76.5836209586,39.2988156947
21284,Unknown Offense,-76.6539149711,39.2803554938
21285,4D-Agg. Asslt.- Hand,-76.5851340035,39.2930105066
21286,Unknown Offense,-76.6183621683,39.2950265917
21287,Unknown Offense,-76.645060657,39.285171178
21288,Unknown Offense,-76.5936214398,39.288446519
21289,6C-Larceny- Shoplifting,-76.6120382377,39.2865939844
21290,Unknown Offense,-76.5793999556,39.3584448909
21291,Unknown Offense,-76.5793999556,39.3584448909
21292,Unknown Offense,-76.5793999556,39.3584448909
21293,Unknown Offense,-76.6280936656,39.3119479453
21294,Unknown Offense,-76.5886021428,39.3246453478
21295,Unknown Offense,-76.5802266552,39.3585632517
21296,Unknown Offense,-76.5802266552,39.3585632517
21297,Unknown Offense,-76.66928361,39.3080867555
21298,4E-Common Assault,-76.590873977,39.2904550225
21299,4E-Common Assault,-76.590873977,39.2904550225
21300,Unknown Offense,-76.6009697945,39.3105836121
21301,Unknown Offense,-76.5933386655,39.2856082324
21302,Unknown Offense,-76.6025117402,39.3093286059
21303,4E-Common Assault,-76.5947013635,39.3157970252
21304,24-Towed Vehicle,-76.5946046677,39.2892361023
21305,Unknown Offense,-76.5940393088,39.3275540596
21306,Unknown Offense,-76.5899075254,39.226770402
21307,Unknown Offense,-76.6376810307,39.3328255156
21308,Unknown Offense,-76.5975085356,39.3449499601
21309,Unknown Offense,-76.6049953272,39.3116904151
21310,3CF-Robb Comm-Firearm,-76.6183517979,39.3163240185
21311,3CF-Robb Comm-Firearm,-76.6183517979,39.3163240185
21312,5D-Burg. Oth. (Force),-76.6513951191,39.2863262537
21313,Unknown Offense,-76.6121558215,39.2873217671
21314,4E-Common Assault,-76.6775262305,39.2858255211
21315,Unknown Offense,-76.6366756316,39.2882684173
21316,4E-Common Assault,-76.6395283227,39.2885465759
21317,3AK-Robb Hwy-Knife,-76.5936453911,39.2890063189
21318,Unknown Offense,-76.6266205074,39.2970704134
21319,Unknown Offense,-76.5945722623,39.3005630181
21320,Unknown Offense,-76.6170278154,39.2785920792
21321,Unknown Offense,-76.6170278154,39.2785920792
21322,Unknown Offense,-76.6170278154,39.2785920792
21323,4E-Common Assault,-76.5964204504,39.2345198602
21324,4C-Agg. Asslt.- Oth.,-76.6289388709,39.2829990232
21325,Unknown Offense,-76.5409467093,39.3038534039
21326,Unknown Offense,-76.5409467093,39.3038534039
21327,5A-Burg. Res. (Force),-76.6998859642,39.3543899459
21328,Unknown Offense,-76.6505106682,39.2954959016
21329,Unknown Offense,-76.695299955,39.2734343049
21330,5C-Burg. Res. (Noforce),-76.6213841697,39.248683862
21331,4E-Common Assault,-76.6749069021,39.3484279445
21332,Unknown Offense,-76.6355539609,39.3074034933
21333,Unknown Offense,-76.6625332884,39.2932691131
21334,Unknown Offense,-76.6113899167,39.2956060238
21335,4B-Agg. Asslt.- Cut,-76.6728833334,39.3356694478
21336,4B-Agg. Asslt.- Cut,-76.6678877572,39.3327124476
21337,3AF-Robb Hwy-Firearm,-76.6100866421,39.2885909921
21338,Unknown Offense,-76.5581431619,39.2878813913
21339,Unknown Offense,-76.6101223392,39.2925280955
21340,4E-Common Assault,-76.6104663576,39.2345460354
21341,Unknown Offense,-76.6815274732,39.3452300632
21342,Unknown Offense,-76.6763197538,39.2881604585
21343,Unknown Offense,-76.6789978779,39.3471397347
21344,Unknown Offense,-76.6776708384,39.3465157748
21345,Unknown Offense,-76.5706535088,39.2924655925
21346,Unknown Offense,-76.5598187195,39.3507058333
21347,Unknown Offense,-76.5711565369,39.3233799654
21348,Unknown Offense,-76.6094764824,39.3230411369
21349,Unknown Offense,-76.6094764824,39.3230411369
21350,Unknown Offense,-76.6094764824,39.3230411369
21351,4B-Agg. Asslt.- Cut,-76.6270984654,39.2472525551
21352,Unknown Offense,-76.652841764,39.3187404868
21353,Unknown Offense,-76.6350364349,39.2634242687
21354,Unknown Offense,-76.6350364349,39.2634242687
21355,4D-Agg. Asslt.- Hand,-76.580573246,39.3037412489
21356,Unknown Offense,-76.5965367496,39.3190928428
21357,Unknown Offense,-76.6545720014,39.2842183923
21358,Unknown Offense,-76.5839748917,39.3047293482
21359,Unknown Offense,-76.6012350298,39.3143248851
21360,5B-Burg. Res. (Att.),-76.6517822899,39.3076913978
21361,Unknown Offense,-76.6494059371,39.2912326708
21362,3AK-Robb Hwy-Knife,-76.5936453911,39.2890063189
21363,Unknown Offense,-76.5970087296,39.2945981562
21364,Unknown Offense,-76.5970087296,39.2945981562
21365,Unknown Offense,-76.6476888612,39.2905707471
21366,Unknown Offense,-76.6475116505,39.2975795635
21367,Unknown Offense,-76.6477157876,39.2938518049
21368,Unknown Offense,-76.6477157876,39.2938518049
21369,Unknown Offense,-76.609509804,39.3118787514
21370,Unknown Offense,-76.6052147865,39.3121570231
21371,Unknown Offense,-76.5839674041,39.3126978113
21372,Unknown Offense,-76.6451042446,39.2852682322
21373,Unknown Offense,-76.6451042446,39.2852682322
21374,Unknown Offense,-76.5857584027,39.3111341096
21375,Unknown Offense,-76.6441827091,39.2852594297
21376,Unknown Offense,-76.6450926646,39.3099739114
21377,Unknown Offense,-76.5928304309,39.2826036119
21378,Unknown Offense,-76.5917763288,39.3293503697
21379,118-Burglary - Fourth Degree,-76.5941653813,39.3085793867
21380,Unknown Offense,-76.6431672686,39.3119162651
21381,Unknown Offense,-76.595350343,39.3166584878
21382,Unknown Offense,-76.5950918978,39.3147051229
21383,4E-Common Assault,-76.6423944333,39.2822164943
21384,Unknown Offense,-76.5886912825,39.2252920717
21385,Unknown Offense,-76.5799451813,39.3059763173
21386,4E-Common Assault,-76.6389742299,39.3042670818
21387,Unknown Offense,-76.640420587,39.303586449
21388,Unknown Offense,-76.6358867427,39.31031272
21389,Unknown Offense,-76.6029797658,39.3117879988
21390,Unknown Offense,-76.5978665379,39.3019351261
21391,24-Towed Vehicle,-76.6098143202,39.289659117
21392,Unknown Offense,-76.6320205372,39.3071549039
21393,Unknown Offense,-76.5975623104,39.2348692875
21394,4C-Agg. Asslt.- Oth.,-76.5586211803,39.3712232051
21395,Unknown Offense,-76.5986229362,39.2985642791
21396,Unknown Offense,-76.5510410364,39.3643990337
21397,Unknown Offense,-76.5510410364,39.3643990337
21398,Unknown Offense,-76.5707806485,39.2985896874
21399,Unknown Offense,-76.6078376923,39.3526320865
21400,Unknown Offense,-76.5476551739,39.2874551197
21401,Unknown Offense,-76.6722018023,39.3569358523
21402,Unknown Offense,-76.6060350383,39.3566200908
21403,4E-Common Assault,-76.6099187032,39.3553689473
21404,Unknown Offense,-76.5538875532,39.3033752317
21405,Unknown Offense,-76.6835360115,39.3440474979
21406,Unknown Offense,-76.6096074043,39.3540422154
21407,4E-Common Assault,-76.5614979299,39.3312192973
21408,Unknown Offense,-76.5614979299,39.3312192973
21409,Unknown Offense,-76.5614979299,39.3312192973
21410,Unknown Offense,-76.6100866421,39.2885909921
21411,Unknown Offense,-76.6100866421,39.2885909921
21412,Unknown Offense,-76.6392875347,39.2832901859
21413,Unknown Offense,-76.6392875347,39.2832901859
21414,4C-Agg. Asslt.- Oth.,-76.5806750289,39.2962040515
21415,Unknown Offense,-76.6829104584,39.3367469592
21416,4E-Common Assault,-76.6799801976,39.336045646
21417,4E-Common Assault,-76.6799801976,39.336045646
21418,Unknown Offense,-76.6826434327,39.3315056728
21419,6E-Larceny- Auto Acc,-76.5670358594,39.2866471228
21420,Unknown Offense,-76.5677876874,39.291830079
21421,4D-Agg. Asslt.- Hand,-76.5706278645,39.291306162
21422,Unknown Offense,-76.6094416339,39.3261848418
21423,Unknown Offense,-76.6149780825,39.2513688374
21424,Unknown Offense,-76.6203655067,39.3110955161
21425,Unknown Offense,-76.621188558,39.2929794458
21426,Unknown Offense,-76.6457818751,39.3140230671
21427,Unknown Offense,-76.6295444933,39.2490906689
21428,4C-Agg. Asslt.- Oth.,-76.6262877313,39.2480084616
21429,4E-Common Assault,-76.6578337684,39.2883224187
21430,Unknown Offense,-76.5953304749,39.3167910528
21431,Unknown Offense,-76.5825947998,39.3047777937
21432,Unknown Offense,-76.5984188447,39.3160511903
21433,Unknown Offense,-76.651921344,39.2911481669
21434,4E-Common Assault,-76.6762382622,39.313666589
21435,Unknown Offense,-76.6488857989,39.2836322109
21436,Unknown Offense,-76.6376861854,39.305988722
21437,Unknown Offense,-76.6742170256,39.3100874521
21438,Unknown Offense,-76.6742170256,39.3100874521
21439,7A-Stolen Auto,-76.6488417245,39.2905543755
21440,Unknown Offense,-76.6491365721,39.2846762158
21441,Unknown Offense,-76.6491365721,39.2846762158
21442,Unknown Offense,-76.6491365721,39.2846762158
21443,4E-Common Assault,-76.5941183299,39.3110476819
21444,Unknown Offense,-76.5857584027,39.3111341096
21445,4E-Common Assault,-76.643402823,39.3100495075
21446,4E-Common Assault,-76.643402823,39.3100495075
21447,Unknown Offense,-76.643402823,39.3100495075
21448,Unknown Offense,-76.5915538691,39.3088463906
21449,Unknown Offense,-76.5964253392,39.3095532024
21450,4E-Common Assault,-76.6426655709,39.2822080701
21451,4E-Common Assault,-76.6404652743,39.3109924412
21452,Unknown Offense,-76.6415206496,39.3101336559
21453,118-Burglary - Fourth Degree,-76.6413879609,39.2883857462
21454,118-Burglary - Fourth Degree,-76.6413879609,39.2883857462
21455,Unknown Offense,-76.5894086592,39.2298241754
21456,Unknown Offense,-76.5971974976,39.3020437879
21457,Unknown Offense,-76.6350123081,39.2825477036
21458,Unknown Offense,-76.6389962077,39.3034211565
21459,Unknown Offense,-76.5848414261,39.3050341317
21460,Unknown Offense,-76.5848414261,39.3050341317
21461,Unknown Offense,-76.5848414261,39.3050341317
21462,Unknown Offense,-76.6355194505,39.2828375643
21463,Unknown Offense,-76.6355194505,39.2828375643
21464,Unknown Offense,-76.5979429779,39.3172821434
21465,Unknown Offense,-76.5979429779,39.3172821434
21466,Unknown Offense,-76.5405404346,39.2815212497
21467,Unknown Offense,-76.6144804042,39.2780688262
21468,Unknown Offense,-76.6144804042,39.2780688262
21469,Unknown Offense,-76.6036057612,39.3060891853
21470,Unknown Offense,-76.5667803743,39.2906490077
21471,Unknown Offense,-76.6536908605,39.2878300694
21472,24-Towed Vehicle,-76.6697629572,39.285753281
21473,Unknown Offense,-76.6367046216,39.2887041134
21474,Unknown Offense,-76.6097437571,39.2896620209
21475,Unknown Offense,-76.6097437571,39.2896620209
21476,87-Narcotics,-76.5874644461,39.3111106847
21477,Unknown Offense,-76.5911033028,39.3379503878
21478,Unknown Offense,-76.6352698056,39.303995887
21479,Unknown Offense,-76.6101536574,39.2897590702
21480,Unknown Offense,-76.6819190482,39.3242246741
21481,Unknown Offense,-76.6614367784,39.3305051007
21482,Unknown Offense,-76.6614367784,39.3305051007
21483,Unknown Offense,-76.6614367784,39.3305051007
21484,Unknown Offense,-76.6781304664,39.3240114895
21485,Unknown Offense,-76.5687258608,39.3215648409
21486,Unknown Offense,-76.6094706794,39.3285983822
21487,87-Narcotics,-76.6788000563,39.3523073513
21488,Unknown Offense,-76.6714677095,39.3164153544
21489,4E-Common Assault,-76.6671447706,39.2964246223
21490,Unknown Offense,-76.6679494444,39.3112423967
21491,Unknown Offense,-76.6669427302,39.2951390535
21492,Unknown Offense,-76.6225398466,39.2929278064
21493,5A-Burg. Res. (Force),-76.6450409103,39.2860317456
21494,4E-Common Assault,-76.621188558,39.2929794458
21495,79-Other,-76.6211934979,39.2930394367
21496,Unknown Offense,-76.6248910011,39.3001817146
21497,Unknown Offense,-76.582551123,39.3023322293
21498,Unknown Offense,-76.6304138489,39.2813222316
21499,Unknown Offense,-76.597764027,39.3154632887
21500,Unknown Offense,-76.6002404522,39.3119182212
21501,Unknown Offense,-76.5883125138,39.3056903358
21502,Unknown Offense,-76.6380755469,39.2856002019
21503,Unknown Offense,-76.6380755469,39.2856002019
21504,Unknown Offense,-76.5334817252,39.277356062
21505,Unknown Offense,-76.5963757321,39.3156725862
21506,Unknown Offense,-76.5971781939,39.2932559899
21507,4B-Agg. Asslt.- Cut,-76.5932287223,39.3317515859
21508,Unknown Offense,-76.6419718269,39.3059403344
21509,Unknown Offense,-76.616610735,39.3114062262
21510,Unknown Offense,-76.6721887785,39.2830740025
21511,Unknown Offense,-76.6721887785,39.2830740025
21512,87-Narcotics,-76.6485171974,39.2847308782
21513,Unknown Offense,-76.6492147484,39.2894268112
21514,87-Narcotics,-76.6678005855,39.3126993804
21515,Unknown Offense,-76.6341229535,39.2628595346
21516,87-Narcotics,-76.5850389408,39.3046923802
21517,4E-Common Assault,-76.6168756006,39.3155997286
21518,Unknown Offense,-76.5822449744,39.2988707063
21519,Unknown Offense,-76.5965367496,39.3190928428
21520,5A-Burg. Res. (Force),-76.6222151946,39.3200789424
21521,Unknown Offense,-76.6600706706,39.3206316242
21522,Unknown Offense,-76.6618936736,39.2972907353
21523,Unknown Offense,-76.6685339505,39.3386971674
21524,Unknown Offense,-76.5429780914,39.2903686851
21525,6C-Larceny- Shoplifting,-76.6279115474,39.2741488538
21526,Unknown Offense,-76.6415206496,39.3101336559
21527,Unknown Offense,-76.6404652743,39.3109924412
21528,Unknown Offense,-76.6151533387,39.2977578797
21529,Unknown Offense,-76.6452248442,39.2878584114
21530,Unknown Offense,-76.6382601571,39.289927223
21531,Unknown Offense,-76.5629125213,39.3110111272
21532,Unknown Offense,-76.6501985881,39.2897247368
21533,7A-Stolen Auto,-76.6259506691,39.2872288145
21534,6D-Larceny- From Auto,-76.6165061824,39.2876791801
21535,Unknown Offense,-76.6108790049,39.3519682095
21536,Unknown Offense,-76.6825641085,39.3465802641
21537,Unknown Offense,-76.682514024,39.3422145407
21538,Unknown Offense,-76.682514024,39.3422145407
21539,Unknown Offense,-76.6093974355,39.3545787774
21540,Unknown Offense,-76.6301213799,39.2828377409
21541,Unknown Offense,-76.6692208167,39.3428152942
21542,Unknown Offense,-76.6692208167,39.3428152942
21543,6D-Larceny- From Auto,-76.5742391407,39.3413254109
21544,Unknown Offense,-76.5596317898,39.3114765991
21545,Unknown Offense,-76.5629125213,39.3110111272
21546,Unknown Offense,-76.6266916594,39.2970490069
21547,6C-Larceny- Shoplifting,-76.6267651072,39.2832292558
21548,6C-Larceny- Shoplifting,-76.593522921,39.283320835
21549,Unknown Offense,-76.605928162,39.3321841934
21550,Unknown Offense,-76.5510410364,39.3643990337
21551,Unknown Offense,-76.5347402294,39.2812472888
21552,79-Other,-76.5309352892,39.35450034
21553,Unknown Offense,-76.553612893,39.3614466633
21554,Unknown Offense,-76.5429780914,39.2903686851
21555,Unknown Offense,-76.5935471046,39.2874689363
21556,Unknown Offense,-76.5580040654,39.2856883915
21557,Unknown Offense,-76.5557497693,39.2858896726
21558,Unknown Offense,-76.5766147325,39.297998211
21559,4E-Common Assault,-76.6199843762,39.296819571
21560,Unknown Offense,-76.6421751354,39.3089630544
21561,6C-Larceny- Shoplifting,-76.6995075469,39.3478316182
21562,7A-Stolen Auto,-76.6259506691,39.2872288145
21563,3AO-Robb Hwy-Other Wpn,-76.6181214533,39.3111354877
21564,87-Narcotics,-76.6465797169,39.2810326769
21565,3H-Robb Conv. Stor.(Ua),-76.5673717285,39.2913766682
21566,Unknown Offense,-76.644400859,39.299014212
21567,Unknown Offense,-76.536870634,39.282971495
21568,Unknown Offense,-76.6215424527,39.2989067201
21569,Unknown Offense,-76.5963064137,39.2994472624
21570,Unknown Offense,-76.5781143223,39.2992586159
21571,Unknown Offense,-76.6063442127,39.3534309891
21572,6C-Larceny- Shoplifting,-76.5908655808,39.297583631
21573,Unknown Offense,-76.5908655808,39.297583631
21574,Unknown Offense,-76.575169309,39.2986629635
21575,Unknown Offense,-76.6741877803,39.2945294368
21576,7A-Stolen Auto,-76.6883066798,39.3517133458
21577,Unknown Offense,-76.5475650732,39.2874536001
21578,Unknown Offense,-76.6108790049,39.3519682095
21579,Unknown Offense,-76.5521529574,39.2867470147
21580,Unknown Offense,-76.5521529574,39.2867470147
21581,118-Burglary - Fourth Degree,-76.6226682043,39.2951224832
21582,118-Burglary - Fourth Degree,-76.6226682043,39.2951224832
21583,4E-Common Assault,-76.6290360371,39.2999227865
21584,Unknown Offense,-76.6017064241,39.230623912
21585,Unknown Offense,-76.6824562787,39.3442434828
21586,7A-Stolen Auto,-76.609882103,39.2878080355
21587,7A-Stolen Auto,-76.609882103,39.2878080355
21588,Unknown Offense,-76.5750486753,39.320483332
21589,Unknown Offense,-76.6668967854,39.2944291274
21590,Unknown Offense,-76.6668967854,39.2944291274
21591,Unknown Offense,-76.5749055093,39.3002121219
21592,4E-Common Assault,-76.574884923,39.2947245108
21593,Unknown Offense,-76.6393481637,39.2843416666
21594,Unknown Offense,-76.6604176865,39.2560076823
21595,3AF-Robb Hwy-Firearm,-76.569463645,39.3488380191
21596,Unknown Offense,-76.6095093269,39.320989882
21597,Unknown Offense,-76.6095093269,39.320989882
21598,Unknown Offense,-76.6564337516,39.2788722985
21599,Unknown Offense,-76.6564337516,39.2788722985
21600,Unknown Offense,-76.6564337516,39.2788722985
21601,Unknown Offense,-76.6564337516,39.2788722985
21602,Unknown Offense,-76.6564337516,39.2788722985
21603,Unknown Offense,-76.6564337516,39.2788722985
21604,111-Protective Order,-76.6213313565,39.3188424598
21605,Unknown Offense,-76.5799617115,39.2945594465
21606,3AF-Robb Hwy-Firearm,-76.5819586362,39.2944357849
21607,Unknown Offense,-76.6417728041,39.30941799
21608,6C-Larceny- Shoplifting,-76.655814669,39.2834251497
21609,Unknown Offense,-76.6545720014,39.2842183923
21610,Unknown Offense,-76.5838727854,39.305809093
21611,Unknown Offense,-76.5962699336,39.3158737965
21612,Unknown Offense,-76.6395172667,39.3091135196
21613,Unknown Offense,-76.5685454491,39.3687806968
21614,Unknown Offense,-76.5685454491,39.3687806968
21615,Unknown Offense,-76.6502872943,39.2835279231
21616,Unknown Offense,-76.6502872943,39.2835279231
21617,Unknown Offense,-76.6502872943,39.2835279231
21618,Unknown Offense,-76.6494059371,39.2912326708
21619,Unknown Offense,-76.6467911241,39.2850853318
21620,Unknown Offense,-76.5976451125,39.2936982641
21621,Unknown Offense,-76.6527698099,39.2663147141
21622,Unknown Offense,-76.6474474284,39.2951742151
21623,Unknown Offense,-76.6025117402,39.3093286059
21624,Unknown Offense,-76.6421902386,39.2833182344
21625,Unknown Offense,-76.5960082712,39.300468286
21626,97-Search & Seizure,-76.5940327775,39.3226567657
21627,97-Search & Seizure,-76.5940327775,39.3226567657
21628,97-Search & Seizure,-76.5940327775,39.3226567657
21629,Unknown Offense,-76.6415206496,39.3101336559
21630,Unknown Offense,-76.640480314,39.3069217833
21631,4E-Common Assault,-76.6380755469,39.2856002019
21632,Unknown Offense,-76.6391147423,39.2978772722
21633,Unknown Offense,-76.5799451813,39.3059763173
21634,Unknown Offense,-76.5990992954,39.3163031834
21635,Unknown Offense,-76.5825871137,39.3040614884
21636,4E-Common Assault,-76.640233072,39.3015310114
21637,79-Other,-76.571825611,39.2906677853
21638,Unknown Offense,-76.6487964523,39.2897766863
21639,118-Burglary - Fourth Degree,-76.6359489248,39.2869172714
21640,Unknown Offense,-76.6381111401,39.2885075524
21641,Unknown Offense,-76.593735763,39.2914649613
21642,Unknown Offense,-76.6101772967,39.289643946
21643,Unknown Offense,-76.6101772967,39.289643946
21644,Unknown Offense,-76.6101772967,39.289643946
21645,Unknown Offense,-76.6101772967,39.289643946
21646,75-Destruct. Of Property,-76.6548999051,39.2878329505
21647,Unknown Offense,-76.5983484559,39.2346366362
21648,79-Other,-76.6740089786,39.3432168833
21649,Unknown Offense,-76.6197949846,39.2915557496
21650,Unknown Offense,-76.6379404362,39.2844657097
21651,87-Narcotics,-76.6673040324,39.3081205355
21652,4E-Common Assault,-76.6420674507,39.2532884207
21653,4E-Common Assault,-76.6420674507,39.2532884207
21654,6C-Larceny- Shoplifting,-76.6427737757,39.3103311572
21655,75-Destruct. Of Property,-76.6548999051,39.2878329505
21656,75-Destruct. Of Property,-76.6548999051,39.2878329505
21657,75-Destruct. Of Property,-76.6548999051,39.2878329505
21658,75-Destruct. Of Property,-76.6548999051,39.2878329505
21659,75-Destruct. Of Property,-76.6548999051,39.2878329505
21660,Unknown Offense,-76.5836209586,39.2988156947
21661,55-Disorderly Person,-76.6477644484,39.315082632
21662,24-Towed Vehicle,-76.6480300783,39.281672337
21663,24-Towed Vehicle,-76.6480300783,39.281672337
21664,Unknown Offense,-76.618022967,39.3123176688
21665,Unknown Offense,-76.6193973212,39.3111084563
21666,Unknown Offense,-76.6193973212,39.3111084563
21667,5A-Burg. Res. (Force),-76.5825822297,39.340470469
21668,Unknown Offense,-76.6459426293,39.2912932748
21669,Unknown Offense,-76.5857584027,39.3111341096
21670,Unknown Offense,-76.5857584027,39.3111341096
21671,Unknown Offense,-76.6422200288,39.2835967235
21672,87-Narcotics,-76.6404652743,39.3109924412
21673,Unknown Offense,-76.6415206496,39.3101336559
21674,Unknown Offense,-76.6415206496,39.3101336559
21675,4E-Common Assault,-76.5896321547,39.2290902366
21676,Unknown Offense,-76.597136447,39.294352685
21677,Unknown Offense,-76.588280564,39.3597550144
21678,Unknown Offense,-76.5992228788,39.3119617603
21679,Unknown Offense,-76.603674421,39.3050456061
21680,Unknown Offense,-76.603674421,39.3050456061
21681,4E-Common Assault,-76.6367517726,39.2856098787
21682,5F-Burg. Oth. (Noforce),-76.6156296167,39.2776896127
21683,4E-Common Assault,-76.5646117885,39.2912035684
21684,Unknown Offense,-76.6210251192,39.2904668146
21685,Unknown Offense,-76.6514226963,39.2878777409
21686,Unknown Offense,-76.609716295,39.2892590593
21687,Unknown Offense,-76.609716295,39.2892590593
21688,7A-Stolen Auto,-76.6312464329,39.2829158129
21689,Unknown Offense,-76.6036881899,39.300111241
21690,Unknown Offense,-76.6269002837,39.2496496861
21691,Unknown Offense,-76.6008550568,39.2310014139
21692,4E-Common Assault,-76.630845711,39.282404697
21693,87-Narcotics,-76.647438217,39.2967451404
21694,Unknown Offense,-76.6238151664,39.249646514
21695,Unknown Offense,-76.6238151664,39.249646514
21696,6C-Larceny- Shoplifting,-76.5346940617,39.28796456
21697,6J-Larceny- Other,-76.5396492935,39.3493624871
21698,6J-Larceny- Other,-76.5396492935,39.3493624871
21699,1A-Murder,-76.6077045306,39.2906117218
21700,1A-Murder,-76.6077045306,39.2906117218
21701,7A-Stolen Auto,-76.6883066798,39.3517133458
21702,Unknown Offense,-76.6210795914,39.2508239415
21703,Unknown Offense,-76.5673554563,39.3133314177
21704,Unknown Offense,-76.6003870385,39.3405185109
21705,Unknown Offense,-76.5680072026,39.3142789316
21706,Unknown Offense,-76.5680072026,39.3142789316
21707,Unknown Offense,-76.6313867739,39.3059589063
21708,87-Narcotics,-76.645060657,39.285171178
21709,Unknown Offense,-76.5834921916,39.2948189947
21710,Unknown Offense,-76.6477019647,39.2920079994
21711,Unknown Offense,-76.6477019647,39.2920079994
21712,Unknown Offense,-76.6469474167,39.2861851758
21713,Unknown Offense,-76.6456034318,39.2862457484
21714,87-Narcotics,-76.6450385413,39.2832179326
21715,Unknown Offense,-76.5947921777,39.281064544
21716,4E-Common Assault,-76.6350123081,39.2825477036
21717,Unknown Offense,-76.5828284987,39.3069292805
21718,Unknown Offense,-76.6378790608,39.3011813969
21719,Unknown Offense,-76.6378790608,39.3011813969
21720,Unknown Offense,-76.637574011,39.3001917053
21721,115-Trespassing,-76.6358867427,39.31031272
21722,4E-Common Assault,-76.6142908548,39.2762955956
21723,115-Trespassing,-76.6045889639,39.288098594
21724,55-Disorderly Person,-76.5646238593,39.291419623
21725,6G-Larceny- From Bldg.,-76.6130880105,39.2999588349
21726,Unknown Offense,-76.58524157,39.2999454158
21727,Unknown Offense,-76.58524157,39.2999454158
