n,name,zipCode,neighborhood,councilDistrict,policeDistrict,Location 1,Latitude,Longitude
842,mcdonald's,21202,Brooklyn,10,SOUTHERN,"101 patapsco ave",39.239093587799914,-76.61159820179478
843,mcdonald's,21202,Inner Harbor,11,CENTRAL,"200 pratt st",39.286427701278456,-76.61795145339607
844,MCDONALD'S,21213,South Clifton Park,12,EASTERN,"2001 BROADWAY",39.31333607070417,-76.59619585035739
845,MCDONALD'S,21201,Downtown,11,CENTRAL,"25 HOWARD ST",39.2902937329705,-76.61945497506622
846,MCDONALD'S,21218,Better Waverly,12,NORTHERN,"2840 GREENMOUNT",39.323023178378094,-76.60946820699138
847,MCDONALD'S,21202,Downtown,11,CENTRAL,"31 CALVERT ST",39.23511961048274,-76.61190892835356
848,mcdonald's,21229,Violetville,8,SOUTHWESTERN,"3619 wilkens ave",39.27100477515137,-76.6798104605835
849,mcdonald's,21211,Hampden,7,NORTHERN,"3920 falls rd",39.335901771350734,-76.63646370993149
850,MCDONALD'S,21215,Central Park Heights,6,NORTHWESTERN,"4401 REISTERSTOWN RD",39.33925141592118,-76.66811778200923
851,MCDONALD'S,21212,Radnor-Winston,4,NORTHERN,"5100 YORK RD",39.35079318196085,-76.60975007790296
852,MCDONALD'S,21206,Pulaski Industrial Area,2,NORTHEASTERN,"6001 MORAVIA RD",39.31519857205757,-76.54447238699026
853,MCDONALD'S  RESTAURANT,21206,Frankford,2,NORTHEASTERN,"5713 BELAIR RD",39.34309646822851,-76.54446422834064
854,MCDONALD'S #5437,21224,Baltimore Highlands,1,SOUTHEASTERN,"3401 PULASKI HWY",39.29605373419355,-76.56917675640136
855,MCDONALD'S (4526-38),21215,Claremont-Freedom,13,NORTHEASTERN,"4526 ERDMAN AVE",39.309743301613196,-76.56313797613586
856,MCDONALD'S 11851,21230,Riverside,10,SOUTHERN,"825 FORT AVE",39.27183422077377,-76.60192904458893
857,MCDONALD'S HAMBURGERS,21223,Penrose/Fayette Street Outreach,9,SOUTHWESTERN,"2501 FRANKLIN ST",39.29328329259096,-76.65661875804847
858,MCDONALD'S HAMBURGERS,21229,Carroll-South Hilton,8,SOUTHWESTERN,"3249 FREDERICK AVE",39.280743458944585,-76.67120407990359
859,MCDONALD'S HAMBURGERS,21201,Downtown,11,CENTRAL,"425 BALTIMORE ST",39.28922261972923,-76.62206923680503
860,MCDONALD'S RESTAURANT,21215,Reisterstown Station,5,NORTHWESTERN,"4205 MORTIMER AVE",39.347617521132804,-76.69420212782512
861,MCDONALD'S RESTAURANT,21202,Downtown,11,CENTRAL,"45 MARKET PL",39.288154643323196,-76.60668993768968
862,MCHENRY STREET PUB,21230,New Southwest/Mount Clare,9,SOUTHERN,"1513 MCHENRY ST",39.28439270276209,-76.64151011709743
863,MEADOW MILL ATHLETIC CLUB,21211,Hampden,7,NORTHERN,"3600 CLIPPER MILL RD",39.330546021682665,-76.6412011235322
864,MEHEK,21231,Fells Point,1,SOUTHEASTERN,"811 BROADWAY",39.28226329701465,-76.5928356549407
865,MELI PATISSERIE & BISTRO,21231,Fells Point,1,SOUTHEASTERN,"818 BROADWAY",39.300078275892815,-76.59451633496008
866,METROPOLITAN COFFEEHOUSE AND WINE BAR,21230,Federal Hill,10,SOUTHERN,"902 CHARLES ST",39.27876906753954,-76.61452598878253
867,MEX RESTAURANT,21202,Downtown,11,CENTRAL,"26 MARKET PL",39.2885778768686,-76.6068419707795
868,MICHAEL'S STEAK & LOBSTER HOUSE,21224,Joseph Lee,2,SOUTHEASTERN,"6207 EASTERN AVE",39.2875128007762,-76.542349974371
869,MICHELLE'S CAF,21231,Fells Point,1,SOUTHEASTERN,"1836 EASTERN AVE",39.28576801708141,-76.59026218555061
870,MICK 0' SHEA'S IRISH PUB,21201,Downtown,11,CENTRAL,"328 CHARLES ST",39.29327597300886,-76.61541169509286
871,MIDTOWN YACHT CLUB,21202,Mount Vernon,11,CENTRAL,"15 CENTRE ST",39.296362597357074,-76.61462972018461
872,"NEW REX LIQUORS,INC.",21212,Wilson Park,4,NORTHERN,"4637 YORK RD",39.34531095703613,-76.60954455493646
873,NEW RITZ CABARET,21231,Fells Point,1,SOUTHEASTERN,"504 BROADWAY",39.285360084601336,-76.5936258775314
874,NEW SEOUL RESTAURANT,21218,Charles North,12,CENTRAL,"1910 16 N CHARLES ST",39.29058294954456,-76.60925984306652
875,"NICHIBAN OF FEDERAL HILL, INC.",21230,Federal Hill,10,SOUTHERN,"1035 CHARLES ST",39.277383263527895,-76.61437563742493
876,NICK'S,21223,Carrollton Ridge,9,SOUTHWESTERN,"2200 WILKENS AVE",39.280716651953014,-76.65070956919044
877,NICK'S FISH HOUSE,21230,Port Covington,10,SOUTHERN,"2600 INSULATOR DR",39.26038881079609,-76.61332550356832
878,NIGHT OF THE COOKERS. LLC,21201,Mount Vernon,11,CENTRAL,"885 HOWARD ST",39.30062024333063,-76.62009484539999
879,NIGHTSHIFT,21224,Canton Industrial Area,1,SOUTHEASTERN,"1725 PONCA ST",39.27270840317135,-76.5537146468127
880,NIWANA,21218,Charles Village,14,NORTHERN,"3215 CHARLES ST",39.32782348876407,-76.61742580415671
881,NO IDEA,21230,SBIC,10,SOUTHERN,"1649 HANOVER ST",39.27058361724124,-76.61508543904097
882,NO WAY JOSE CAF,21230,Federal Hill,10,SOUTHERN,"38 CROSS ST",39.27698815178286,-76.6130632612597
883,NO. #1 CHINESE RESTAURANT,21224,Highlandtown,2,SOUTHEASTERN,"3710 EASTERN AVE",39.2866981022367,-76.56606132047278
884,NORMA  JEANS,21202,Downtown,11,CENTRAL,"10 CUSTOM HOUSE AVE",39.289581095792016,-76.60979071197096
885,NORTH POLE ICE CREAM COMPANY,21224,Highlandtown,2,SOUTHEASTERN,"3713 EASTERN AVE",39.28664332273223,-76.56602985139574
886,NORTH'S CAF,21215,Arlington,5,NORTHWESTERN,"3716 BELVEDERE AVE",39.3460533932506,-76.6805900154161
887,NORTHSIDE SPORTS BAR,21218,Abell,14,NORTHERN,"3100 GREENMOUNT AVE",39.32617013374579,-76.60944457820392
888,OASIS NITECLUB,21202,Downtown,11,CENTRAL,"417 BALTIMORE ST",39.28924359911389,-76.62174871932712
889,O'BRADY SALOON,21225,Fairfield Area,10,SOUTHERN,"3432 HANOVER ST",39.24138988253816,-76.60811704036831
890,O'CONNORS,21224,Greektown,2,SOUTHEASTERN,"4801 EASTERN AVE",39.28706291042607,-76.55559844411209
891,O'DONNELL PUB,21224,Canton,1,SOUTHEASTERN,"531 POTOMAC ST",39.297652828616265,-76.575075455567
892,ODYSSEY LOUNGE,21217,Sandtown-Winchester,7,WESTERN,"1323 PRESSTMAN ST",39.30546298013354,-76.6401697684193
893,O'HARA'S IRISH PUB,21206,Rosemont East,2,NORTHEASTERN,"6506 BELAIR RD",39.35360363440128,-76.53205959427407
894,OK TAVERN,21213,Biddle Street,13,EASTERN,"2301 BIDDLE ST",39.30462709086862,-76.58513635295952
895,OLD BAY CAF,21202,Inner Harbor,11,CENTRAL,"501 PRATT STREET",39.286682950458896,-76.60843964157539
896,OLDE OBRYCKI'S CRAB HOUSE (saesonal),21231,Upper Fells Point,1,SOUTHEASTERN,"1727 PRATT ST",39.28522371860083,-76.64461855989782
897,OLORI B',21218,Better Waverly,12,NORTHERN,"2637 GREENMOUNT AVE",39.32055064169987,-76.60944548561986
898,OMEGA PSI PHI FRATERNITY,21217,Easterwood,7,WESTERN,"2003 PRESBURY ST",39.30776371752262,-76.65012914044667
899,ONE + ONE CARRYOUT,21216,Sandtown-Winchester,7,WESTERN,"1550 MONROE ST",39.30628816926469,-76.64799623813508
900,ONE WORLD CAF,21210,Tuscany-Canterbury,14,NORTHERN,"100 UNIVERSITY PKWY",39.33463479026443,-76.62091420602496
901,ONE-EYED MIKE'S,21231,Fells Point,1,SOUTHEASTERN,"708 BOND ST",39.28316774069975,-76.59520632361216
902,OPEN HEARTH INN,21222,Saint Helena,1,SOUTHEASTERN,"6591 ST HELENA AVE",39.25992640997691,-76.53018857993823
903,ORIENT EXPRESS,21218,Charles Village,14,NORTHERN,"3111 ST PAUL ST",39.32626285744601,-76.61578475096468
904,ORLEANS LIQUORS,21224,McElderry Park,13,SOUTHEASTERN,"401 MONTFORD AVE",39.29568193377531,-76.58349517476171
905,ottobar,21218,Remington,7,NORTHERN,"2549 howard st",39.31884315468892,-76.61975567958012
906,OUT TO LUNCH,21202,Inner Harbor,11,CENTRAL,"109 MARKET PL",39.287547328447545,-76.60663584346861
907,OUTBACK STEAKHOUSE,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST",39.28141479835534,-76.58157439733975
908,OVERLEA   DINER,21206,Rosemont East,2,NORTHEASTERN,"6652 BELAIR RD",39.35489386566047,-76.53056073558867
909,OXFORD TAVERN,21217,Sandtown-Winchester,7,WESTERN,"1741 NORTH AVE",39.309882633577786,-76.64618968180758
910,P & S JAMAICAN & AMERICAN RESTAURNAT & CARRYOUT,21215,Pimlico Good Neighbors,5,NORTHWESTERN,"5218 PARK HEIGHTS AVE",39.34942407835962,-76.67720767509331
911,P.J.'S PUB,21218,Charles Village,14,NORTHERN,"3333 CHARLES ST",39.328692966808035,-76.61749573543904
912,PAIK'S PLACE,21226,Fairfield Area,10,SOUTHERN,"3563 FAIRFIELD RD",39.23152819487137,-76.57518384905461
913,PAK'S LIQUORS,21223,Franklin Square,9,WESTERN,"300 GILMOR ST",39.292258800204536,-76.64261619597988
914,PALOMA'S (351-55),21223,New Southwest/Mount Clare,9,SOUTHERN,"351 WOODYEAR ST",39.28357101109435,-76.63847510214345
915,PANADERIA HERMANOS NAVARRO LLC,21224,Highlandtown,2,SOUTHEASTERN,"3712 EASTERN AVE",39.2866981022367,-76.56601120305379
916,PANDA EXPRESS # 1152,21215,Reisterstown Station,5,NORTHWESTERN,"6514 REISTERSTOWN RD",39.356632869412465,-76.70308547001764
917,PANERA BREAD,21202,Inner Harbor,11,CENTRAL,"600 PRATT ST",39.286768033519024,-76.60777179872872
918,PANERA BREAD,21212,Lake Walker,4,NORTHERN,"6307 1 2 YORK RD",39.29058294954456,-76.60925984306652
919,PAPA  JOHNS  PIZZA,21214,Waltherson,3,NORTHEASTERN,"5246 HARFORD RD",39.349900775701315,-76.56351349345215
920,PAPA JOHN'S,21218,Abell,14,NORTHERN,"347 33RD ST",39.32821277290225,-76.61134878112057
921,PAPA JOHN'S PIZZA 730,21210,Cross Keys,6,NORTHERN,"4535 FALLS RD",39.34455103710178,-76.6405975147627
922,PAPERMOON DINER,21211,Remington,14,NORTHERN,"227 29TH ST",39.322544846968185,-76.62131864194095
923,PARADISE OF PARK HEIGHTS,21215,Central Park Heights,6,NORTHWESTERN,"4448 PARK HEIGHTS AVE",39.340579707388656,-76.66717919826061
924,PARADOX,21230,Carroll - Camden Industrial Area,10,SOUTHERN,"1310 RUSSELL ST",39.27660689769124,-76.62535412659088
925,PARK  AVE.  SPORTS  BAR,21202,Downtown,11,CENTRAL,"412 PARK AVE",39.2945175788243,-76.61823584061074
926,PARK AVENUE CAF EXPRESS,21227,Violetville,8,SOUTHWESTERN,"3700 KOPPERS ST",39.26180958044887,-76.67025651192768
927,PARK INN,21231,Canton,1,SOUTHEASTERN,"2239 EASTERN AVE",39.28590321756053,-76.58460941229373
928,Parkside Restaurant,21224,Baltimore-Linwood,1,SOUTHEASTERN,"2901 Baltimore St",39.29219353100774,-76.5759997131155
929,PARTHENON DINER,21201,Downtown,11,CENTRAL,"8 PARK AVENUE",39.2900548010893,-76.61795611548155
930,PASTICCIO ITALIAN KITCHEN,21224,Canton,1,SOUTHEASTERN,"2400 BOSTON ST",39.28141479835534,-76.58157439733975
931,PATRICK'S  OF PRATT STREET,21223,Hollins Market,9,SOUTHERN,"131 SCHROEDER ST",39.28589156234682,-76.63358457806504
932,"PATTERSON PERK, LLC",21224,Canton,1,SOUTHEASTERN,"2501 EASTERN AVE",39.2860325904328,-76.58129933429603
933,PATTY CAKES,21218,Lauraville,3,NORTHEASTERN,"2301 ARGONNE DR",39.34004397045396,-76.5797981436686
934,PAUL'S,21230,Riverside,10,SOUTHERN,"701 FORT AVE",39.27254402238981,-76.6039605465412
935,PAZO,21231,Fells Point,1,SOUTHEASTERN,"1425 ALICEANNA ST",39.2833340945939,-76.59718256851994
936,PAZZA LUNA,21230,Locust Point,10,SOUTHERN,"1401 CLEMENT ST",39.27072464532722,-76.5941503621487
937,peabody court a clairon hotel,21201,Mount Vernon,11,CENTRAL,"612 cathedral st",39.297218089144565,-76.6170353544972
938,PEARL'S,21231,Fells Point,1,SOUTHEASTERN,"1900 ALICEANNA ST",39.28369805292391,-76.5898018055081
939,PEIWEI ASIAN DINER,21212,Cedarcroft,4,NORTHERN,"6302 YORK RD",39.37117716779312,-76.60985129929725
940,peking house,21225,Brooklyn,10,SOUTHERN,"3606 hanover st",39.23840813083166,-76.60962728267214
941,PENN LIQUORS,21202,Johnston Square,12,EASTERN,"1041 GREENMOUNT AVE",39.30238950297428,-76.60747692182167
942,PENN RESTAURANT & CARRYOUT,21201,University Of Maryland,11,CENTRAL,"663 PRATT ST",39.286113753348104,-76.6252061719265
943,PENN STREET TAVERN,21230,Ridgely's Delight,11,SOUTHERN,"213 PENN ST",39.285572209490965,-76.62579540593242
944,PENNINGTON   STATION,21226,Curtis Bay,10,SOUTHERN,"4901 PENNINGTON AVE",39.22210379715358,-76.58812578667494
945,PENNINGTON'S PUB      (5 & 7 W. PATAPSCO AVE.),21225,Brooklyn,10,SOUTHERN,"7 PATAPSCO AVE",39.238972672152215,-76.611175715586
946,PEPINO'S INCORPORATED,21202,Little Italy,1,SOUTHEASTERN,"301 EXETER ST",39.28663050199714,-76.60065629704968
947,PEPPER'S LIQUOR'S,21215,Woodmere,5,NORTHWESTERN,"5440 REISTERSTOWN RD",39.347116347842245,-76.68947710868082
948,PERGUSA ENTERPRISES,21212,Rosebank,4,NORTHERN,"5928 YORK RD",39.36471688068059,-76.60995978001904
949,PETALO'S,21202,Little Italy,1,SOUTHEASTERN,"1002 EASTERN AVE",39.285313388203406,-76.60022800211982
950,PETERS POUR HOUSE AND PUB 110,21202,Downtown,11,CENTRAL,"111 MERCER ST",39.28850349304287,-76.6129886678919
